시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기
2023,대구광역시,중구,84029.5,40194.0,43835.5,2816.0,3407.5,5932.0,25404.5,24269.5,28334.5
2023,인천광역시,인천광역시,2966979.0,1483001.5,1483977.5,84134.0,121382.0,271976.0,776165.5,986545.0,879382.0
2023,인천광역시,강화군,69116.0,34597.5,34518.5,1332.0,1585.5,4420.0,9675.5,18474.5,44441.0
2023,인천광역시,계양구,283118.0,140788.5,142329.5,6013.0,8686.5,23524.5,73882.0,96785.0,88550.0
2023,인천광역시,남동구,496577.5,246284.0,250293.5,11802.0,19891.5,46929.0,125004.5,167981.5,149647.5
2023,인천광역시,동구,58959.0,29583.5,29375.5,1190.5,1782.5,4670.5,12468.0,18636.0,25367.0
2023,인천광역시,미추홀구,403391.5,202712.5,200679.0,10143.5,13917.5,31325.5,107800.5,128738.5,136560.5
2023,인천광역시,부평구,488915.0,240656.5,248258.5,12163.5,16666.0,40020.5,133032.5,159418.0,154280.0
2023,인천광역시,서구,604260.0,304416.5,299843.5,22603.0,30871.0,61612.0,164623.0,207078.0,138884.0
2023,인천광역시,연수구,387342.5,192062.0,195280.5,13426.5,20669.0,44160.5,101253.0,133530.0,88746.0
2023,인천광역시,옹진군,20410.5,11657.0,8753.5,350.0,404.0,1045.0,4319.5,5522.0,11132.0
2023,인천광역시,중구,154889.0,80243.5,74645.5,5110.0,6908.5,14268.5,44107.0,50381.5,41774.0
2023,광주광역시,광주광역시,1420562.0,701187.5,719374.5,40702.5,62653.5,149102.0,369372.5,466935.5,408207.5
2023,광주광역시,광산구,397801.0,200429.0,197372.0,12696.5,20297.0,50098.5,106116.5,141359.0,81747.5
2023,광주광역시,남구,210508.0,100820.0,109688.0,5534.5,9706.5,22528.5,48967.0,65949.5,71954.0
2023,광주광역시,동구,105751.0,52135.0,53616.0,3461.5,4077.0,7474.5,28988.0,29939.5,40607.0
2023,광주광역시,북구,421862.0,208649.0,213213.0,12179.5,17442.0,40417.0,109890.5,135534.5,129838.0
2023,광주광역시,서구,284640.0,139154.5,145485.5,6830.5,11131.0,28583.5,75410.5,94153.0,84061.0
2023,대전광역시,대전광역시,1438846.0,716965.5,721880.5,40665.0,58776.0,138912.5,388340.0,461877.0,428083.5
2023,대전광역시,대덕구,170597.0,86600.0,83997.0,3963.5,5441.0,14790.5,41497.0,56802.5,58533.5
2023,대전광역시,동구,217792.5,109471.5,108321.0,5188.0,7493.0,18939.5,53020.0,67519.5,81329.5
2023,대전광역시,서구,465772.5,228418.0,237354.5,12959.0,19655.5,46921.5,132650.0,149488.5,125765.5
2023,대전광역시,유성구,360468.0,182426.5,178041.5,13681.5,18620.0,38210.5,108888.0,117004.5,76652.0
2023,대전광역시,중구,224216.0,110049.5,114166.5,4873.0,7566.5,20050.5,52285.0,71062.0,85803.0
2023,울산광역시,울산광역시,1103825.0,566569.5,537255.5,31542.0,50497.0,109772.5,263477.0,382727.5,309022.0
2023,울산광역시,남구,307630.5,156693.0,150937.5,8025.0,12537.5,28449.5,79871.0,106141.5,83149.5
2023,울산광역시,동구,151573.5,78982.0,72591.5,4225.5,7701.5,15951.0,34842.0,50762.5,42878.0
2023,울산광역시,북구,217189.0,112306.5,104882.5,8440.0,12979.5,24584.5,54734.0,78116.0,44245.5
2023,울산광역시,울주군,219683.0,113627.0,106056.0,5755.0,8675.0,21555.5,47555.0,77231.0,71228.0
2023,울산광역시,중구,207749.0,104961.0,102788.0,5096.5,8603.5,19232.0,46475.0,70476.5,67521.0
2023,세종특별자치시,세종특별자치시,384276.5,191515.0,192761.5,18091.0,26644.0,49839.5,98155.0,129507.0,76148.5
2023,세종특별자치시,세종시,384276.5,191515.0,192761.5,18091.0,26644.0,49839.5,98155.0,129507.0,76148.5
2023,경기도,경기도,13545542.5,6811447.0,6734095.5,414094.0,600617.5,1321983.5,3577801.5,4553468.0,3755473.0
2023,경기도,가평군,61961.0,31967.5,29993.5,1153.5,1678.5,4386.0,11194.5,18258.5,31986.5
2023,경기도,고양시,1069377.5,521775.0,547602.5,29336.5,42731.0,99800.5,279524.0,365861.5,316359.5
2023,경기도,과천시,79056.5,38814.0,40242.5,3303.0,4344.5,7677.0,21354.5,25100.5,21325.0
2023,경기도,광명시,282728.0,138834.0,143894.0,7892.5,11571.5,28641.5,71339.5,95341.0,81677.0
2023,경기도,광주시,389863.5,198783.5,191080.0,12741.5,18015.0,34904.5,95583.5,135301.0,110325.5
