"여수시",33.9,39405,116299
"순천시",32.9,38367,116484
"나주시",40.1,20908,52082
"광양시",32.2,20175,62702
"담양군",36.0,6922,19234
"곡성군",44.9,5847,13018
"구례군",40.9,4599,11254
"고흥군",43.1,12954,30024
"보성군",42.5,7652,17986
"화순군",37.6,10065,26750
"장흥군",41.4,6813,16463
"강진군",41.7,6426,15392
"해남군",39.0,11398,29232
"영암군",42.2,10536,24977
"무안군",36.7,14083,38330
"함평군",40.5,5597,13808
"영광군",38.0,8563,22526
"장성군",35.7,6386,17903
"완도군",38.5,8152,21172
"진도군",41.8,5707,13647
"신안군",41.8,7131,17055
"경상북도",38.1,444108,1166594
"포항시",34.3,74230,216729
"경주시",38.1,43793,114793
"김천시",37.0,22755,61530
"안동시",40.7,29413,72259
"구미시",36.5,64809,177393
"영주시",37.4,17293,46254
"영천시",39.9,18601,46589
"상주시",39.1,17187,43933
"문경시",37.9,11840,31254
"경산시",41.4,52780,127547
"의성군",42.7,10516,24646
"청송군",42.6,5081,11928
"영양군",42.1,3255,7730
"영덕군",44.5,7565,16982
"청도군",39.7,7696,19396
"고령군",37.7,5191,13781
"성주군",38.7,7353,18994
"칠곡군",37.8,18560,49152
"예천군",37.1,9355,25184
"봉화군",40.4,5746,14213
"울진군",41.4,9107,21988
"울릉군",45.9,1982,4319
"경상남도",34.7,487491,1404476
"진주시",36.8,55976,152167
"통영시",36.8,19933,54144
"사천시",38.1,18663,48983
"김해시",30.8,67116,217871
"밀양시",39.0,18639,47747
"거제시",32.5,31687,97648
"양산시",32.2,47837,148613
"창원시",33.5,143315,428321
"의령군",45.6,5749,12594
"함안군",36.7,9822,26738
"창녕군",40.4,10891,26965
"고성군",38.2,8588,22477
"남해군",41.0,8064,19653
"하동군",40.7,7921,19461
"산청군",41.6,6717,16149
"함양군",41.1,7194,17493
"거창군",38.1,10337,27105
"합천군",44.4,9042,20347
"제주특별자치도",33.7,93739,278315
"제주시",33.5,67704,202367
"서귀포시",34.3,26035,75948
