"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","영천시","여자",49290,1232,1282.5,1455.5,1559.5,1602,1842.5,1941,2055.5,2477,2766,3802,4390.5,5293.5,4588,3938,3012.5,6052,3269.5,2782.5,1951.5,708,108,15
"2023","상주시","계",94172.5,1783,2666.5,3352,3873.5,3921.5,3176,3054,3575.5,4797.5,5658.5,7274,8310.5,10416,9203.5,7202.5,5298,10610,5667,4943,3410,1206.5,282.5,44
"2023","상주시","남자",46316,905.5,1406,1756.5,2046.5,2314,1812.5,1659,1917.5,2540.5,2990,3923.5,4327,5316,4550.5,3383,2249,3219,1953,1266,974,251.5,38,2.5
"2023","상주시","여자",47856.5,877.5,1260.5,1595.5,1827,1607.5,1363.5,1395,1658,2257,2668.5,3350.5,3983.5,5100,4653,3819.5,3049,7391,3714,3677,2436,955,244.5,41.5
"2023","문경시","계",69335,1449,1952.5,2450.5,2786,3072.5,2599,2321.5,2735,3682.5,4369,5314,6062.5,7462.5,6791,5280,3970.5,7037,3910.5,3126.5,2206.5,716.5,171,32.5
"2023","문경시","남자",34062,744.5,995.5,1308.5,1533,1698.5,1476.5,1238,1442.5,1922,2328,2843,3106.5,3792,3313.5,2451.5,1667,2201.5,1426,775.5,582,160,28.5,5
"2023","문경시","여자",35273,704.5,957,1142,1253,1374,1122.5,1083.5,1292.5,1760.5,2041,2471,2956,3670.5,3477.5,2828.5,2303.5,4835.5,2484.5,2351,1624.5,556.5,142.5,27.5
"2023","경산시","계",266058,6978,10543.5,11528,11281.5,17871.5,17564,15977.5,15310,19797.5,20134,23877,22214,22250,17155.5,12638.5,8621.5,12316,7157.5,5158.5,3748,1165,220,25.5
"2023","경산시","남자",133713,3572.5,5342.5,5902,5817,9482.5,9980.5,8842.5,8157,10173,10281.5,11878,11108,11080,8357.5,5821.5,3753.5,4163.5,2689.5,1474,1147,281.5,44,1.5
"2023","경산시","여자",132345,3405.5,5201,5626,5464.5,8389,7583.5,7135,7153,9624.5,9852.5,11999,11106,11170,8798,6817,4868,8152.5,4468,3684.5,2601,883.5,176,24
"2023","의성군","계",49981,831.5,852.5,977,1132,1220.5,1342,1413,1466.5,1924.5,2273,3354,4450.5,6315,6128,4971.5,3696,7633.5,4183.5,3450,2452,823,153,22
