"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","횡성군","여자",22517.5,380,528,662.5,942,714,687,645.5,756,1024.5,1111.5,1685.5,2146.5,2980,2555.5,1566,1395.5,2737.5,1381,1356.5,894,357,89,16.5
"2023","영월군","계",37354,582.5,860.5,1113,1510.5,1616,1257.5,1149,1265,1874.5,2232.5,3140,3646,4701.5,4063.5,2749.5,2169,3423.5,2014.5,1409,1007.5,329.5,62,10
"2023","영월군","남자",19324,304,459,594.5,861.5,892,729.5,652,680,987,1209,1751.5,2003,2510,2178.5,1355.5,985,1172,769,403,314,73,13.5,2.5
"2023","영월군","여자",18030,278.5,401.5,518.5,649,724,528,497,585,887.5,1023.5,1388.5,1643,2191.5,1885,1394,1184,2251.5,1245.5,1006,693.5,256.5,48.5,7.5
"2023","평창군","계",40692,570.5,922,1243.5,1417,1613.5,1448.5,1314,1379.5,2086.5,2556.5,3564,4020,5379,4520,2908,2347.5,3402,1991,1411,987,333.5,75.5,15
"2023","평창군","남자",21044,276,447.5,648.5,774,952,900.5,750,722,1143,1374,1947,2135.5,2829,2391,1438.5,1102,1213.5,809.5,404,318.5,67.5,16,2
"2023","평창군","여자",19648,294.5,474.5,595,643,661.5,548,564,657.5,943.5,1182.5,1617,1884.5,2550,2129,1469.5,1245.5,2188.5,1181.5,1007,668.5,266,59.5,13
"2023","정선군","계",34446.5,578.5,798.5,1142.5,1142.5,1335,1050.5,1057.5,1339,1955.5,2335,3038,3321.5,4318.5,3709,2450,1980,2895,1741.5,1153.5,797.5,259,82.5,14.5
"2023","정선군","남자",17976,274,418.5,587,579,770,642,600,747.5,1100,1340,1792,1824.5,2279,1998,1158,881,985.5,684.5,301,223.5,56,17,4.5
"2023","정선군","여자",16470.5,304.5,380,555.5,563.5,565,408.5,457.5,591.5,855.5,995,1246,1497,2039.5,1711,1292,1099,1909.5,1057,852.5,574,203,65.5,10
"2023","철원군","계",41757,1335,1469.5,1585,1759,2223.5,2437.5,2359.5,1964.5,2389,2610,3230,3414,4121.5,3455.5,2166.5,2204,3033,1868,1165,789,274,90,12
"2023","철원군","남자",21616.5,674.5,726.5,837,924.5,1330,1627.5,1368.5,1081.5,1249.5,1377.5,1774,1782.5,2137,1727,971,987.5,1040.5,700.5,340,246,80,13,1
"2023","철원군","여자",20140.5,660.5,743,748,834.5,893.5,810,991,883,1139.5,1232.5,1456,1631.5,1984.5,1728.5,1195.5,1216.5,1992.5,1167.5,825,543,194,77,11
"2023","화천군","계",23138,681.5,834.5,804,832.5,1336.5,1693,1478.5,1118,1166.5,1246.5,1682,1931.5,2319.5,1965,1092,1093,1863.5,1083,780.5,552.5,174,42,12
"2023","화천군","남자",12411,358.5,432.5,386,430.5,858,1151.5,933.5,616.5,642,658,905,1029,1281.5,1064.5,515,503,646,410,236,172.5,48.5,9.5,5.5
"2023","화천군","여자",10727,323,402,418,402,478.5,541.5,545,501.5,524.5,588.5,777,902.5,1038,900.5,577,590,1217.5,673,544.5,380,125.5,32.5,6.5
