"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","세종특별자치시","계",384276.5,18091,26644,27710,22129.5,17677.5,20367,27577,32533.5,41373,35258.5,30632.5,22243,20775,15612,9696,6348,9609,5109.5,4499.5,3023.5,1191.5,248,36.5
"2023","세종특별자치시","남자",191515,9127,13619,14091,11013,9249.5,10169.5,13499,16049,20238,17871,16251.5,11461.5,10411.5,7690,4698,2868.5,3208,1998,1210,918.5,241.5,44,6
"2023","세종특별자치시","여자",192761.5,8964,13025,13619,11116.5,8428,10197.5,14078,16484.5,21135,17387.5,14381,10781.5,10363.5,7922,4998,3479.5,6401,3111.5,3289.5,2105,950,204,30.5
"2023","세종시","계",384276.5,18091,26644,27710,22129.5,17677.5,20367,27577,32533.5,41373,35258.5,30632.5,22243,20775,15612,9696,6348,9609,5109.5,4499.5,3023.5,1191.5,248,36.5
"2023","세종시","남자",191515,9127,13619,14091,11013,9249.5,10169.5,13499,16049,20238,17871,16251.5,11461.5,10411.5,7690,4698,2868.5,3208,1998,1210,918.5,241.5,44,6
"2023","세종시","여자",192761.5,8964,13025,13619,11116.5,8428,10197.5,14078,16484.5,21135,17387.5,14381,10781.5,10363.5,7922,4998,3479.5,6401,3111.5,3289.5,2105,950,204,30.5
