"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","서구","여자",237354.5,6323.5,9506,11179.5,11574,15431,18745,16120,14645.5,18513,19207.5,21364,18031,18050,13802,8838,6327.5,9697,5109,4588,3044.5,1208.5,290.5,44.5
"2023","유성구","계",360468,13681.5,18620,19388.5,18822,23641.5,29016,28955,27275.5,30917.5,29331.5,31235.5,25520,23798,16335.5,9348.5,5964.5,8617,4645.5,3971.5,2651.5,1065,221.5,33.5
"2023","유성구","남자",182426.5,7113,9515.5,10028,9837,12343.5,16073,15583,14132,15283,14349,15456.5,12740.5,11700,8069.5,4621.5,2687,2894.5,1799.5,1095,793.5,257.5,42,2
"2023","유성구","여자",178041.5,6568.5,9104.5,9360.5,8985,11298,12943,13372,13143.5,15634.5,14982.5,15779,12779.5,12098,8266,4727,3277.5,5722.5,2846,2876.5,1858,807.5,179.5,31.5
"2023","대덕구","계",170597,3963.5,5441,6910,7880.5,10492.5,11557,10246,9201.5,11313,12815,16800,15874.5,16008,11900,7525,5330,7339.5,4248,3091.5,2206.5,703.5,155,26.5
"2023","대덕구","남자",86600,2036.5,2768.5,3584,4137,5683.5,6412,5804.5,5013.5,5964,6487.5,8441,8062,7919.5,5859.5,3566,2352.5,2508.5,1592,916.5,723,170,22.5,1
"2023","대덕구","여자",83997,1927,2672.5,3326,3743.5,4809,5145,4441.5,4188,5349,6327.5,8359,7812.5,8088.5,6040.5,3959,2977.5,4831,2656,2175,1483.5,533.5,132.5,25.5
"2023","울산광역시","계",1103825,31542,50497,56355,53417.5,57363,68305.5,68602,69206.5,91669.5,87290,102820.5,100947.5,96350,69445,42883,26278.5,30852.5,18492,12360.5,8724.5,2944,624,68
"2023","울산광역시","남자",566569.5,16048.5,26097.5,29237,28129.5,32318.5,38913,37790.5,36516,47370,44440.5,50968.5,51489.5,49060,34470.5,21111.5,12203,10405.5,7236.5,3169,2488,604,71,6
"2023","울산광역시","여자",537255.5,15493.5,24399.5,27118,25288,25044.5,29392.5,30811.5,32690.5,44299.5,42849.5,51852,49458,47290,34974.5,21771.5,14075.5,20447,11255.5,9191.5,6236.5,2340,553,62
"2023","중구","계",207749,5096.5,8603.5,9888,9344,10041,12400.5,12112,11921.5,16165,15517.5,19123,19671,19636.5,15106,9937,6185,7001,4346.5,2654.5,1893.5,628,121,12
"2023","중구","남자",104961,2588.5,4463,5204.5,4995,5716.5,6909,6604.5,6244,8307.5,7845.5,9337,9824,9742.5,7200,4754,2750,2475.5,1729,746.5,602,133,10.5,1
"2023","중구","여자",102788,2508,4140.5,4683.5,4349,4324.5,5491.5,5507.5,5677.5,7857.5,7672,9786,9847,9894,7906,5183,3435,4525.5,2617.5,1908,1291.5,495,110.5,11
"2023","남구","계",307630.5,8025,12537.5,14111.5,14338,17687,21846,21306.5,19031.5,23723,23492,30064,28862.5,26863,19306,11799,7003.5,7634.5,4725.5,2909,2130,642.5,128,8.5
"2023","남구","남자",156693,4073.5,6504,7362.5,7585,9826.5,12284,11832.5,10088,12088,11382,14504,14590.5,13401,9480.5,5718,3273,2700,1909.5,790.5,633,144,13,0.5
"2023","남구","여자",150937.5,3951.5,6033.5,6749,6753,7860.5,9562,9474,8943.5,11635,12110,15560,14272,13462,9825.5,6081,3730.5,4934.5,2816,2118.5,1497,498.5,115,8
"2023","동구","계",151573.5,4225.5,7701.5,8545.5,7405.5,7080,8548.5,8584,10629.5,14328.5,12315.5,12196,11922.5,13905,10628,6461.5,3609,3487.5,2188,1299.5,911,305.5,72,11
"2023","동구","남자",78982,2145,3931.5,4483,3955,3883.5,4896.5,4870,5759,7718.5,6700.5,6430.5,5891.5,6710,5263.5,3297,1840.5,1206.5,905,301.5,238,52.5,9.5,1.5
"2023","동구","여자",72591.5,2080.5,3770,4062.5,3450.5,3196.5,3652,3714,4870.5,6610,5615,5765.5,6031,7195,5364.5,3164.5,1768.5,2281,1283,998,673,253,62.5,9.5
"2023","북구","계",217189,8440,12979.5,13222.5,11362,10707.5,13359,14816.5,15851,21229.5,18095,19306,19485.5,15938.5,9471,5363,3417,4145.5,2380.5,1765,1224,421,106.5,13.5
"2023","북구","남자",112306.5,4309.5,6688.5,6808.5,5860,6218.5,7747.5,7982.5,8187,10795,9380,9307,10052,8609.5,4852,2670,1550,1289,895,394,298.5,80.5,14,1
"2023","북구","여자",104882.5,4130.5,6291,6414,5502,4489,5611.5,6834,7664,10434.5,8715,9999,9433.5,7329,4619,2693,1867,2856.5,1485.5,1371,925.5,340.5,92.5,12.5
"2023","울주군","계",219683,5755,8675,10587.5,10968,11847.5,12151.5,11783,11773,16223.5,17870,22131.5,21006,20007,14934,9322.5,6064,8584,4851.5,3732.5,2566,947,196.5,23
"2023","울주군","남자",113627,2932,4510.5,5378.5,5734.5,6673.5,7076,6501,6238,8461,9132.5,11390,11131.5,10597,7674.5,4672.5,2789.5,2734.5,1798,936.5,716.5,194,24,2
"2023","울주군","여자",106056,2823,4164.5,5209,5233.5,5174,5075.5,5282,5535,7762.5,8737.5,10741.5,9874.5,9410,7259.5,4650,3274.5,5849.5,3053.5,2796,1849.5,753,172.5,21
