시점,행정구역(시군구)별,성별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,안산시,여자,308429,7504.5,10498,12894,14952.5,21254,23866.5,20358.5,17153,21539,24652.5,32376.5,29821.5,25406.5,16070,9675,7516.5,12890.5,6648.5,6242,4223,1573.5,393,52.5
2023,고양시,계,1069377.5,29336.5,42731,49278.5,50522,62768.5,74083,73336.5,69336,83786.5,85697,104609,91769,85125,58860.5,34855.5,28933,44350,24464.5,19885.5,13923,4809,1009.5,144
2023,고양시,남자,521775,14821,21844.5,25195.5,25658,32001,37508.5,36641.5,34608,41163,41443.5,50630.5,44671.5,42665.5,29368.5,16035.5,12021,15498,9316.5,6181.5,4605.5,1335,204.5,36.5
2023,고양시,여자,547602.5,14515.5,20886.5,24083,24864,30767.5,36574.5,36695,34728,42623.5,44253.5,53978.5,47097.5,42459.5,29492,18820,16912,28852,15148,13704,9317.5,3474,805,107.5
2023,과천시,계,79056.5,3303,4344.5,4048,3629,4484,5111,5683.5,6076,6513.5,5599,6731,6257,5924.5,4259.5,2508,1843,2742,1436,1306,870.5,337,91,7.5
2023,과천시,남자,38814,1702,2241,2067,1856.5,2295.5,2633.5,2787,2994.5,3207,2736.5,3207,3036.5,2912,2113.5,1214.5,801.5,1008.5,584.5,424,305.5,101.5,14.5,2.5
2023,과천시,여자,40242.5,1601,2103.5,1981,1772.5,2188.5,2477.5,2896.5,3081.5,3306.5,2862.5,3524,3220.5,3012.5,2146,1293.5,1041.5,1733.5,851.5,882,565,235.5,76.5,5
2023,구리시,계,186972,4851,7416.5,8367,8514.5,10689.5,13003.5,12188.5,11813,15197,14741,17777.5,16401,16043,11270.5,6970,5260,6468.5,3879.5,2589,1852,597,122,18
2023,구리시,남자,92476.5,2497,3816.5,4284.5,4419.5,5374,6706.5,6196.5,5990.5,7724.5,7289,8589,8051,8058,5539,3294.5,2262,2384.5,1559.5,825,626,170,23.5,5.5
2023,구리시,여자,94495.5,2354,3600,4082.5,4095,5315.5,6297,5992,5822.5,7472.5,7452,9188.5,8350,7985,5731.5,3675.5,2998,4084,2320,1764,1226,427,98.5,12.5
