시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기,CCTV,1인가구비율,경찰서수,강력범죄_살인계,강력범죄_강도,강력범죄_성범죄,절도범죄_전체,폭력범죄_전체,지능범죄_재산범죄,풍속범죄_전체,특별경제범죄_전체,마약범죄_전체,보건범죄_전체,환경범죄_전체,교통범죄_전체,노동범죄_전체,안보범죄_전체,선거범죄_전체,병역범죄_전체,기타범죄_전체,노년기_비율,여성_비율,청년기_비율,남성_비율,총범죄율
2023,서울특별시,강남구,529711.5,253227.5,276484.0,11753.0,20850.0,60724.5,143489.0,178728.5,137498.5,8344.0,35.1,2.0,0.0264294809533113,0.0358685812937797,1.2893811065079763,4.681793768872301,1.2289708643289792,18.968816044205195,0.9212561932297108,3.139444773239773,1.8349611061870472,1.3007080269165383,0.011326920408562,5.642694183531979,0.033980761225686,0.0075512802723746,0.005663460204281,0.234089688443615,9.469305461557848,25.957242763277748,52.195204370681026,27.08814137506926,47.80479562931898,48.83224170137896
2023,서울특별시,강동구,456583.5,223164.5,233419.0,13400.5,18305.0,38867.0,125691.5,143860.0,137049.0,4238.0,33.2,1.0,0.0087607195617012,0.0109508994521265,0.3044350047691167,3.670741496352803,0.7621826018680045,5.696657894996205,0.4073734596191058,1.371052611406238,0.1664536716723228,0.1138893543021156,0.0021901798904253,2.2887379854944387,0.0,0.0043803597808506,0.0043803597808506,0.1379813330967939,3.5415208828177103,30.016196380289696,51.122959984318314,27.528699569739164,48.877040015681686,18.491688814860805
2023,서울특별시,강북구,288656.5,139838.5,148818.0,4806.0,7356.5,19546.5,74110.0,90358.0,114242.5,3584.0,40.1,1.0,0.0242502767129789,0.0034643252447112,0.4780768837701559,3.1767862494002386,0.8730099616672412,7.09493810116869,0.505791485727846,1.1847992336912558,0.3221822477581485,0.2009308641932539,0.0034643252447112,3.20796517660264,0.0069286504894225,0.0069286504894225,0.0034643252447112,0.1836092379696975,6.190749212299048,39.577317676892775,51.55539542674424,25.674114388555253,48.44460457325576,23.467339207674172
2023,서울특별시,강서구,562962.0,269867.5,293094.5,13845.5,18529.5,42348.0,177448.5,168935.0,170268.0,4184.0,40.9,1.0,0.0017763188279137,0.0106579129674827,0.518685097750825,3.1796107019656743,0.6607906039839279,6.442708388843297,0.5577641119649284,0.8721725445056683,0.2398030417683609,0.2007240275542576,0.0106579129674827,2.291451288008782,0.0035526376558275,0.0035526376558275,0.0213158259349654,0.1332239120935338,4.362639041356255,30.245025419122427,52.06292787079767,31.52051115350592,47.93707212920232,19.511086005805012
2023,서울특별시,관악구,480923.5,241746.0,239177.5,7422.0,9886.5,25623.0,195681.0,127119.5,139895.0,6614.0,57.3,1.0,0.0353486573228382,0.0207933278369636,0.6612278252154449,4.169062231311217,1.1228397031960389,10.563010541177547,0.7402424709959069,1.3453283110515497,0.3638832371468643,0.1725846210467985,0.0083173311347854,2.3953913668182154,0.0,0.0041586655673927,0.0020793327836963,0.3846765649838279,5.8387664566194,29.088825977520333,49.7329616872538,40.68859184464889,50.2670383127462,27.82771064420849
2023,서울특별시,광진구,333991.0,160612.0,173379.0,6525.5,9292.0,24089.0,113917.0,100646.0,96230.0,4636.0,45.4,1.0,0.0059881853103826,0.0149704632759565,0.7155881445907225,4.847436008754727,1.1227847456967404,8.524181789329653,0.6107949016590267,1.4162058259054886,0.2994092655191308,0.1586869107251393,0.0,2.544978756912611,0.0029940926551913,0.0,0.0149704632759565,0.194616022587435,4.658808171477674,28.81215362090595,51.91127904644137,34.10780530014282,48.08872095355863,25.132413747675837
2023,서울특별시,구로구,391803.0,192179.0,199624.0,10499.0,12878.0,28356.5,112829.5,120020.0,128797.5,5694.0,35.8,1.0,0.0306276368481098,0.0178661214947307,0.4874898864990824,4.152597095989567,0.9520090453620824,7.143896294821633,0.4338915220148901,1.4420512349318406,0.3956069759547528,0.1607950934525769,0.0,2.6952320426336707,0.0051046061413516,0.0025523030706758,0.0,0.1071967289683846,4.295526067947413,32.87302547453695,50.95009481805908,28.79750793128179,49.04990518194092,22.322442656130765
2023,서울특별시,금천구,227081.0,114191.5,112889.5,4689.0,5593.0,13198.0,73133.0,67228.0,75517.0,3458.0,46.5,1.0,0.0176148598958081,0.0220185748697601,0.5416569417960991,4.315640674472985,0.9247801445299254,10.146159299985468,0.4535826423170586,2.355987511064334,0.2686266134110736,0.2113783187496972,0.004403714973952,3.5273756941355727,0.008807429947904,0.004403714973952,0.0,0.2113783187496972,5.442991707804704,33.25553436879352,49.71331815519572,32.20568871900335,50.286681844804285,28.456806161677996
2023,서울특별시,노원구,498636.5,239480.5,259156.0,10935.0,16408.5,48044.5,128133.0,162207.5,164186.5,4105.0,31.7,1.0,0.0140382823960941,0.0060164067411832,0.3068367438003435,3.266908860462481,0.6738375550125192,5.328530903774593,0.4612578501573792,0.9225157003147584,0.1845031400629516,0.1403828239609414,0.0,2.093709545931756,0.0060164067411832,0.0040109378274554,0.0,0.1463992307021246,3.7341831173610434,32.92709218037588,51.9729301806025,25.696674832267597,48.0270698193975,17.289147505246806
2023,서울특별시,도봉구,307411.0,149082.5,158328.5,5881.5,9015.5,22892.0,76036.5,97078.0,118806.5,2790.0,32.2,1.0,0.0227708182205581,0.0130118961260332,0.286261714772731,3.2432151094137818,0.520475845041329,5.194999528318765,0.3480682213713888,0.764448897404452,0.2212022341425648,0.1040951690082658,0.0130118961260332,1.5223918467458877,0.0,0.0032529740315083,0.0032529740315083,0.1431308573863655,3.2302032132877483,38.647445927439165,51.50384989476628,24.734475994678135,48.49615010523371,15.63379319542892
