시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기,CCTV,1인가구비율,경찰서수,강력범죄_살인계,강력범죄_강도,강력범죄_성범죄,절도범죄_전체,폭력범죄_전체,지능범죄_재산범죄,풍속범죄_전체,특별경제범죄_전체,마약범죄_전체,보건범죄_전체,환경범죄_전체,교통범죄_전체,노동범죄_전체,안보범죄_전체,선거범죄_전체,병역범죄_전체,기타범죄_전체
2023,서울특별시,서울특별시,9334933.5,4517716.5,4817217.0,220265.5,308678.0,739051.5,2785782.5,2895349.0,2908352.5,113557.0,39.3,31.0,0.015854424672655673,0.013604810360995073,0.6123235907358098,3.9675697743320826,0.9528723477248123,8.637876209830525,0.5431211695294883,1.412007916285638,0.39871735561908395,0.3053047994396532,0.004927726587447035,3.2175912126208503,0.007284465390139094,0.011140947067271555,0.00589184700673015,0.16218647942162628,5.266025730124376
2023,서울특별시,강남구,529711.5,253227.5,276484.0,11753.0,20850.0,60724.5,143489.0,178728.5,137498.5,8344.0,35.1,2.0,0.026429480953311376,0.035868581293779726,1.2893811065079765,4.681793768872301,1.2289708643289792,18.968816044205195,0.9212561932297109,3.139444773239773,1.8349611061870472,1.3007080269165385,0.011326920408562018,5.642694183531979,0.03398076122568606,0.00755128027237468,0.005663460204281009,0.23408968844361505,9.469305461557848
2023,서울특별시,강동구,456583.5,223164.5,233419.0,13400.5,18305.0,38867.0,125691.5,143860.0,137049.0,4238.0,33.2,1.0,0.008760719561701201,0.0109508994521265,0.3044350047691167,3.670741496352803,0.7621826018680045,5.696657894996205,0.4073734596191058,1.371052611406238,0.1664536716723228,0.11388935430211561,0.0021901798904253003,2.2887379854944387,0.0,0.004380359780850601,0.004380359780850601,0.1379813330967939,3.5415208828177103
2023,서울특별시,강북구,288656.5,139838.5,148818.0,4806.0,7356.5,19546.5,74110.0,90358.0,114242.5,3584.0,40.1,1.0,0.024250276712978924,0.0034643252447112746,0.4780768837701559,3.1767862494002386,0.8730099616672412,7.09493810116869,0.505791485727846,1.1847992336912558,0.3221822477581485,0.20093086419325393,0.0034643252447112746,3.2079651766026402,0.006928650489422549,0.006928650489422549,0.0034643252447112746,0.18360923796969755,6.190749212299048
2023,서울특별시,강서구,562962.0,269867.5,293094.5,13845.5,18529.5,42348.0,177448.5,168935.0,170268.0,4184.0,40.9,1.0,0.0017763188279137844,0.010657912967482707,0.518685097750825,3.1796107019656743,0.6607906039839279,6.442708388843297,0.5577641119649284,0.8721725445056683,0.23980304176836093,0.20072402755425764,0.010657912967482707,2.291451288008782,0.003552637655827569,0.003552637655827569,0.021315825934965414,0.13322391209353382,4.362639041356255
2023,서울특별시,관악구,480923.5,241746.0,239177.5,7422.0,9886.5,25623.0,195681.0,127119.5,139895.0,6614.0,57.3,1.0,0.03534865732283825,0.020793327836963672,0.6612278252154449,4.169062231311217,1.1228397031960387,10.563010541177547,0.7402424709959069,1.3453283110515497,0.3638832371468643,0.1725846210467985,0.00831733113478547,2.3953913668182154,0.0,0.004158665567392735,0.0020793327836963675,0.38467656498382796,5.8387664566194
2023,서울특별시,광진구,333991.0,160612.0,173379.0,6525.5,9292.0,24089.0,113917.0,100646.0,96230.0,4636.0,45.4,1.0,0.005988185310382615,0.014970463275956539,0.7155881445907225,4.847436008754727,1.1227847456967404,8.524181789329653,0.6107949016590267,1.4162058259054886,0.2994092655191308,0.1586869107251393,0.0,2.544978756912611,0.0029940926551913073,0.0,0.014970463275956539,0.194616022587435,4.658808171477674
2023,서울특별시,구로구,391803.0,192179.0,199624.0,10499.0,12878.0,28356.5,112829.5,120020.0,128797.5,5694.0,35.8,1.0,0.030627636848109895,0.017866121494730772,0.4874898864990824,4.152597095989567,0.9520090453620824,7.143896294821633,0.4338915220148901,1.4420512349318406,0.3956069759547528,0.16079509345257692,0.0,2.6952320426336707,0.0051046061413516485,0.0025523030706758243,0.0,0.10719672896838461,4.295526067947413
2023,서울특별시,금천구,227081.0,114191.5,112889.5,4689.0,5593.0,13198.0,73133.0,67228.0,75517.0,3458.0,46.5,1.0,0.017614859895808105,0.02201857486976013,0.5416569417960991,4.315640674472985,0.9247801445299254,10.146159299985467,0.45358264231705864,2.355987511064334,0.2686266134110736,0.21137831874969723,0.004403714973952026,3.5273756941355727,0.008807429947904052,0.004403714973952026,0.0,0.21137831874969723,5.442991707804704
2023,서울특별시,노원구,498636.5,239480.5,259156.0,10935.0,16408.5,48044.5,128133.0,162207.5,164186.5,4105.0,31.7,1.0,0.01403828239609415,0.006016406741183207,0.30683674380034354,3.266908860462481,0.6738375550125192,5.328530903774593,0.4612578501573792,0.9225157003147584,0.18450314006295165,0.14038282396094148,0.0,2.093709545931756,0.006016406741183207,0.0040109378274554705,0.0,0.14639923070212468,3.7341831173610434
2023,서울특별시,도봉구,307411.0,149082.5,158328.5,5881.5,9015.5,22892.0,76036.5,97078.0,118806.5,2790.0,32.2,1.0,0.022770818220558146,0.013011896126033226,0.286261714772731,3.2432151094137818,0.520475845041329,5.194999528318765,0.3480682213713888,0.764448897404452,0.22120223414256485,0.1040951690082658,0.013011896126033226,1.5223918467458875,0.0,0.0032529740315083064,0.0032529740315083064,0.1431308573863655,3.2302032132877483
